category,id
Kulturë/Arte,7.0
Cinema,8.0
Mix,9.0
Teknologji,11.0
Lajme,12.0
Rajoni,13.0
La Liga,14.0
Lajme futbolli,15.0
Sport,16.0
Bundesliga,17.0
Të tjera,18.0
Premier League,19.0
Politikë,20.0
Bota,21.0
Lifestyle,22.0
LoveSex,23.0
Op-Ed,24.0
Opinion,25.0
Shëndeti,26.0
Nacionale,27.0
Auto,28.0
Basketboll,29.0
Serie A,30.0
Gossip,31.0
Music,32.0
Fit,33.0
Ekonomi,34.0
Vendi,35.0
Biblioteka,38.0
Familja,39.0
Biznes,41.0
Nderkombetare,42.0
Contemporan,46.0
Fotolajm,88.0
Entertainment,90.0
Fun,91.0
Auto &amp; Tek,92.0
Sociale,93.0
Liga e Kampionëve,94.0
Sporti Vendor,95.0
Receta,96.0
Argëtim,97.0
Kuriozitete,98.0
Rrjetet Sociale,99.0
Lojëra,113.0
Bukuroshja,161.0
D4D - Sallonet,33146.0
Merkato,39849.0
Kuize,40225.0
Energjia Efikase,85523.0
Kriptovalutat,98060.0
Liga e Kombeve,108523.0
Euro 2020,112602.0
Zgjedhjet,114791.0
VIDEO,115757.0
MIRAGE,115785.0
L,116998.0
COVID-19,117229.0
