,author,categories,content,date,title
0,900.0,"[12, 20]","<p>Thotë se duhet gjetur mënyra për vazhdim pune pasi ndërprerja e ekonomisë është e rrezikshme.</p>
<p>“Mendoj se duhet me u bë gati me bashkëjetuar me pandeminë por jo duke e ndalë ekonominë, është gabim i madh ndalja e ekonomisë’, tha Haradinaj.</p>
<p>“Pra, është rrezik i madh humbja e hapave ekonomik. Për shkak se kushdo në këtë pandemi që nuk do të humbet do të jetë më përpara se bizneset tjera. Ne do ta kemi shumë problem pastaj sepse i vonuari është i vonuar’, tha Haradinaj për Abc News.</p>
<p>“Analiza jonë duhet të jetë empirike, me numra. Kur të ndërmarrim veprime me ruajt shëndetin sa dëm i bëjmë ekonomisë. Si mundemi me i marrë të gjitha këto veprime të kujdesit pa humb hapa ekonomik”, shtoi ai.</p>
<p>“Mendoj se është një rrezik global për të cilin të gjithë duhet ta japim pjesën tonë. Gjatë ballafaqimit me këtë rrezik nuk duhet të humbim në hapa ekonomik’, tha ish-kryeministri.</p>
",2020-08-25T20:46:27,Haradinaj: Ndalja e ekonomisë është gabim i madh
1,903.0,"[91, 98]","<p>Ajo njihet si gjyshja më “hot” në botë dhe për ta arritur këtë kryen disa trajtime.</p>
<p>Stewart ka treguar se futet në sesione krioterapie për t’u dukur kaq e re.</p>
<p>Gjyshja më e njohur në botë është shprehur se rri në temperatura super të ulëta në mënyrë që të përtërijë pamjen e saj.</p>
<p>“Është një sesion tre minuta dhe unë ngrij në temperatura -110 gradë. Është më ftohtë se në Polin e Veriut”, ka treguar ajo.</p>
<p>Stewart pohon se njerëzit nuk i besojnë për moshën.</p>
",2020-08-25T20:45:03,"Gjyshja më “seksi” në botë, e tregon sekretin e bukurisë"
2,900.0,"[12, 27]","<p>Asociacioni i Gazetarëve të Kosovës shpreh ngushëllime familjarëve, miqve dhe kolegëve të gazetarit Kastriot Shehdadi, i cili ndërroi jetë sot në moshën 52-vjeçare.</p>
<p>Shehdadi për shumë vite ka punuar si gazetar në disa media të Kosovës e Shqipërisë, ku u dallua për profesionalizmin dhe kontributin që dha në fushën e gazetarisë.</p>
<p>Krahas punës si gazetar, ai punoi për 20 vjet edhe si zyrtar për informim në Komunën e Gjakovës.</p>
<p>Varrimi i të ndjerit do të bëhet nesër në varrezat e qytetit të Gjakovës. <strong>/Lajmi.net/</strong></p>
",2020-08-25T20:36:13,AGK shpreh ngushëllime për vdekjen e gazetarit Kastriot Shehdadi
3,900.0,"[12, 27, 117229]","<p>Importuesit po thonë se ky medikament është dashur që të arrijë këtë javë, mirëpo fajësojnë vonesën e procedurave nga Ministria e Shëndetësisë.</p>
<p>Tani ata shpresojnë që këtë produkt ta sjellin në shtator. /KlanKosova</p>
<p><iframe title=""A po vonohet Kosova per Remdesivir? - 25.08.2020 - Klan Kosova"" width=""640"" height=""360"" src=""https://www.youtube.com/embed/A7A1RRZqNaI?feature=oembed"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe></p>
",2020-08-25T20:33:28,A po vonohet Kosova për Remdesivir?
4,878.0,"[14, 15, 16]","<p>Në mediet ndërkombëtare raportohet se Lionel Messi e ka informuar Barcelonën se dëshiron të largohet gjatë kësaj vere.</p>
<p>Ky lajm, ka shokuar botën e sportit, duke bërë të reagojnë edhe disa figura sportive.</p>
<p>Në mesin e tyre edhe ish kapiteni i Barcelonës, Carles Puyol.</p>
<p>Puyol ka folur me respekt dhe admirimin për Messin, duke i dhënë mbështetje në gjithë këtë vendim.</p>
<p>“Respekt dhe admirim Leo. Gjithë mbështetjen time, shoku im”, ka shkruar Puyol në rrjetet sociale<strong>./Lajmi.net/</strong></p>
",2020-08-25T20:31:30,Puyol ka një mesazh për Messin pas lajmeve për largimin e tij nga Barcelona
5,900.0,"[12, 21, 117229]","<p>Në llogarinë e tij në Twitter, ministri turk i Shëndetësisë, Fahrettin Koca, njoftoi se 887 pacientë të tjerë u shëruan nga virusi, duke e çuar në 238.795 numrin e përgjithshëm të pacientëve të shëruar.</p>
<p>Ndërkohë, numri i të vdekurve po ashtu është rritur në 6.163, me 24 viktima të reja të regjistruara gjatë ditës së fundit, transmeton Anadolu Agency.</p>
<p>Profesionistët e kujdesit shëndetësorë gjatë ditës së fundit kryen 98.231 teste të dyshuara për COVID-19, me çka numri i përgjithshëm i testeve të kryera ka tejkaluar shifrën 6.5 milionë.</p>
<p>Që nga shfaqja për herë të parë dhjetorin e kaluar në Kinë, koronavirusi është përhapur në mbarë botën, ndërsa SHBA, Brazili, India dhe Rusia aktualisht janë vendet më të prekura.</p>
<p>Sipas të dhënave nga Universiteti John Hopkins me qendër në SHBA, gati 24 milionë raste janë raportuar në mbarë botën, prej të cilëve afër 15.4 milionë janë shëruar dhe rreth 814.500 kanë vdekur.</p>
",2020-08-25T20:29:40,Turqia raporton 1.502 raste të reja me COVID-19
6,878.0,"[15, 16, 30]","<p>Në garë për mbrojtësin e përfaqësueses së Kosovës ishte deri në fund edhe Atalanta, por përfaqësuesi i Vojvodës menaxheri i njohur shqiptar Adrian Aliaj, në lidhje telefonike për Supersport zbulon se pse në fund zgjodhën klubin “granata”.</p>
<p>“Transferimi i Vojvodës në kampionatin italian është një surprizë për mua, por jam shumë krenar për këtë lëvizje, pasi bëhet fjalë për një lojtar me shumë vlera. Ishte në lojë edhe Atalanta, por zgjodhëm Torinon, pasi këmbënguli shumë më tepër dhe mendoj se bëmë zgjedhjen e duhur. Mërgimi do të jetë titullar absolut në Torino dhe Giampaolo aplikon një skemë që i përshtatet shumë atij”, tha Aliaj.</p>
<p>Të luash në Serinë nuk është detyra më e thjeshtë në botë, por Aliaj është i bindur që futbollisti i tij do t’ia dalë të jetë protagonist tek Torino, ndërkohë që është i lumtur për aventurën e re tek Napoli të një tjetër futbollisti që ai përfaqëson, Amir Rrahmanit.</p>
<p>“Te Mërgimi kam shumë besim që do të jetë i suksesshëm, sepse është rritur në kampionatin belg te Standardi. Nuk ka kaluar fare nga Shqipëria apo Kosova dhe është një djalë me mentalitet europian, profesionist dhe nuk kam dyshim që do të jetë surpriza e kampionatit. Do ta shihni vetë. Transferimi i Rrahmanit te Napoli, ishte kulmi i punës tonë në ato momente, ndaj jemi shumë të lumtur me këtë marrëveshje”, u shpreh Aliaj.</p>
<p>A do të jetë kampionati italian, parajsa e madhe e lojtarëve shqiptar, Aliaj është i bindur që shumë lojtarë nga trevat shqiptare janë të aftë të luajnë në Serinë A.</p>
<p>“Shqiptarët kanë treguar veten në Itali dhe kanë kualitetin e duhur për të luajtur në Serinë A. Shumë shpejt do të vijnë edhe emra të tjerë këtu, pasi edhe ne po punojmë në këtë drejtim”, u shpreh Aliaj.</p>
<p>Në fund Aliaj zbulon diçka edhe rreth së ardhmes së dy prej lojtarëve më të mirë të sezonit të fundit në Kategorinë Superiore, Kristal Abazajt e Dejvi Bregut.</p>
<p>“Abazaj mbylli një sezon fantastik. Vjen pas një aventure jo të mirë te Anderlechti, por jo për faj të Abazajt, pasi klubi belg ka shumë probleme për momentin. Mund ta shohim shumë shpejt në ligën e parë turke ose Poloni, në një klub shumë të mirë. Nuk përjashtohet edhe një rikthim në Belgjikë, por jo te Anderlechti. Për Bregun kemi pritshmëri të larta dhe duam ta çojmë në Poloni, ku t’i japim mundësinë të rritet edhe më shumë”, tha Adrian Aliaj.</p>
",2020-08-25T20:24:30,Aliaj: Vojvoda do jetë surpriza e Serisë A
7,900.0,"[12, 20]","<p>Por pas kësaj ftese që mori Shala, deklaroi se Gjykatës Speciale duhet t’i jepet mandate shtesë për hetimin e të gjitha krimeve në Kosovë.</p>
<p>Madje sipas tij atëherë do të duhej të thuhej se ka një drejtësi ndërkombëtare.</p>
<p>“Unë besoj që kërkesa për ndryshimin e mandatit të Gjykatës është e drejtë, gjykatës t’i jepet mandat shtesë për t’i hetuar të gjitha krimet. Atëherë do të mund të thuhej se ka një drejtësi ndërkombëtare. Sipas kësaj që po ndodhë me ushtarët e UÇK-së, thua ti se vetëm ne jemi ata që kemi bërë krime në Kosovë”, ka thënë Shala në RTK.</p>
<p>Tutje ai shtoi se siç edhe po shihet Gjykata është krijuar për të dënuar UÇK-në dhe ushtarët e saj.</p>
",2020-08-25T20:23:15,"Shala dje u ftua nga Gjykata Speciale si i dyshuar, sot thotë t’i jepet mandat shtesë për t’i hetuar të gjitha krimet"
8,893.0,"[12, 27]","<p>Duke folur në RTK ka thënë se deputetët e Kuvendit të Kosovës duhet ta tregojnë veten si përfaqësues të popullit dhe të insistojnë në zbardhjen e të gjitha krimeve.</p>
<p>“Unë shpresoj që deputetët do të kërkojnë o zbardhjen e të gjitha krimeve o do të kërkojnë ndërprerjen e mandatit. Gjykata nuk e ka justifikuar mandatin e vet, sepse nuk ka bërë ndonjë punë të madhe, ku me thirrjet e veta më shumë i ka përngjarë UDB-së”, ka thënë ai.</p>
<p>Ndryshe, OVL e UÇK-së ka dërguar para disa ditësh në Kuvend kërkesën për ndryshimin e Ligjit për Specialen, teksa e njëjta pritet të shqyrtohet kur deputetët të kthehen nga pushimi.</p>
<p>&nbsp;</p>
",2020-08-25T20:11:40,"Haradinaj: Me thirrjet e saja, Gjykata Speciale po i përngjanë UDB-së"
9,893.0,"[12, 20]","<p>Kjo u bë e ditur me anë të një komunikate për media nga zyra e kryeministrit, shkruan lajmi.net.</p>
<p>“Duke e falënderuar ambasadorin Rohde për ndihmën e përhershme që Gjermania i ka dhënë Kosovës, kryeministri Hoti ritheksoi qëndrimin e palëkundshëm të Qeverisë së Kosovës për ta thelluar bashkëpunimin ndërmjet dy vendeve”, thuhet në njoftim.</p>
<p>Sa i përket procesit të dialogut me Serbinë, kryeministri Hoti ripohoi qëndrimin e prerë të Republikës së Kosovës se është koha për arritjen e një marrëveshjeje përfundimtare në mes të dy vendeve, e cila në thelb duhet të përmbajë njohjen reciproke.</p>
<p>Ndërsa, ambasadori gjerman Jörn Rohde, ndër të tjera, ka shprehur shpresën për një përparim të shpejtë në dialogun në mes Kosovës dhe Serbisë dhe ka theksuar se Gjermania do të vazhdojë ta mbështesë Kosovën në përpjekjet për menaxhimin  e pandemisë dhe të rimëkëmbjes ekonomike.</p>
<p>Po ashtu, ai shtroi edhe mundësitë e intensifikimit të bashkëpunimit ekonomik në mes të kompanive private, duke pohuar gatishmërinë gjermane për investime në vendin tonë.</p>
",2020-08-25T20:01:44,"Hoti takon ambasadorin e ri gjerman, i thotë se dialogu duhet të përfundojë me njohje"
